codigo_postal,tipo,localidad,precio(mxn_peso),habitaciones,baños,area(m2)
21327,Fraccionamiento,Hacienda de Los Portales,5743873,3,2,205
21255,Fraccionamiento,Antares Residencial,6550000,3,3,204
21378,Colonia,Saturno (Abasolo),4800000,4,4,343
21378,Fraccionamiento,Cerrada Quebec,3850000,3,2,155
21200,Colonia,Cuauhtémoc Sur,12299000,3,3,450
21307,Fraccionamiento,Villanova,3500000,3,3,249
21378,Fraccionamiento,Monet Residencial,4028000,3,2,129
21376,Fraccionamiento,Mayakhan Residencial,3750000,3,1,158
21355,Fraccionamiento,Villa lomas altas,780000,2,1,45
21387,Fraccionamiento,Jardines de Calafia,1600000,2,1,70
21384,Fraccionamiento,Huertas del Colorado,1200000,2,1,63
21395,Fraccionamiento,Residencial Natura,3420000,3,2,101
21376,Fraccionamiento,Verona,4490000,3,1,150
21100,Colonia,Nueva,12000000,3,3,450
21255,Fraccionamiento,Antares Residencial,5800000,2,2,204
21378,Fraccionamiento,Villa del Cedro,4131900,3,2,163
21354,Fraccionamiento,Villa del Rey Primera Etapa,2350000,3,2,101
21378,Fraccionamiento,La Toscana Residencial,5125000,3,2,234
21395,Fraccionamiento,La Condesa,1800000,2,1,74
21323,Fraccionamiento,Residencial Barcelona,384917,3,2,135
21330,Colonia,Adolfo López Mateos,8400000,3,4,251
21020,Colonia,Burócrata,4950000,2,2,170
21395,Fraccionamiento,Altaria Residencial,4600000,3,3,155
21339,Colonia,Ampliación Jardines del Lago,2790000,3,2,136
21353,Colonia,El Campanario,800000,3,2,81
21383,Fraccionamiento,Privadas Campestre,2200000,2,2,76
21137,Fraccionamiento,Misión de San Ignacio,383000,2,1,95
21353,Fraccionamiento,Villa del Rey Tercera Etapa,1800000,2,1,55
21354,Fraccionamiento,Paseo las Flores,900000,2,1,160
21600,Colonia,Nuevo Milenio,3350000,4,3,250
21378,Fraccionamiento,Adara Residencial,6800000,3,2,127
21389,Fraccionamiento,Villa Mediterranea,4600000,4,2,243
21230,Fraccionamiento,Los Pinos,12000000,5,4,428
21353,Fraccionamiento,Villa del Rey Tercera Etapa,567000,3,1,115
21353,Fraccionamiento,Gran Venecia,11600000,3,1,180
21120,Colonia,Pueblo Nuevo,2300000,2,1,79
21378,Fraccionamiento,Adara Residencial,6950000,3,2,127
21353,Colonia,El Campanario,1800000,3,1,90
21379,Colonia,Rancho La Bodega,3300000,3,2,138
21353,Fraccionamiento,Terrazas del Sol,2700000,2,1,120
21323,Fraccionamiento,Casa Digna,558000,2,1,90
21190,Fraccionamiento,Residencial San Andrés,2450000,4,2,90
21378,Fraccionamiento,Monet Residencial,3108000,3,2,101
21376,Fraccionamiento,Mayakhan Residencial,3450000,3,3,171
21200,Colonia,Cuauhtémoc Norte,4850000,3,2,164
21137,Fraccionamiento,Misión de San Ignacio,550000,2,1,53
21355,Fraccionamiento,Villa Residencial del Prado,1799000,3,2,71
21353,Colonia,El Campanario,2540000,3,2,145
21323,Fraccionamiento,Residencial Barcelona III,480212,3,1,60
21383,Fraccionamiento,Privadas Campestre,2400000,3,1,89
21353,Fraccionamiento,Villa Esperanza 2000,2700000,2,2,280
21355,Fraccionamiento,Villa Residencial del Prado,2200000,3,2,114
21270,Colonia,Santa Teresa,6400000,3,2,300
21353,Colonia,El Campanario,1950000,3,2,120
21378,Colonia,Saturno (Abasolo),690000,2,1,89
21180,Colonia,Universitario,6450000,4,4,280
21383,Colonia,Dos División Dos,2140000,2,2,75
21353,Fraccionamiento,Residencial Madrid,2899249,3,2,105
21395,Fraccionamiento,Quinta Alcázar de Toledo,3950000,3,2,129
21240,Colonia,Prohogar,4500000,4,3,243
21353,Fraccionamiento,Residencial Madrid,2739000,3,1,89
21270,Colonia,Santa Teresa,3390000,3,2,107
21399,Colonia,Villas de La República,2550000,3,2,89
21395,Fraccionamiento,Altaria Residencial,4500000,3,3,155
21180,Fraccionamiento,Villafontana,4750000,5,3,200
21376,Fraccionamiento,Hacienda Dorada,6040600,3,2,169
21355,Fraccionamiento,Buenos Aires,3500000,3,3,118
21378,Fraccionamiento,Monet Residencial,3985000,3,2,163
21225,Fraccionamiento,Reserva Residencial,6500000,3,2,208
21355,Fraccionamiento,Villa Residencial del Prado,2200000,3,2,105
21353,Fraccionamiento,Terrazas del Sol,551000,3,1,140
21370,Colonia,Carbajal,4500000,3,2,358
21355,Fraccionamiento,Quinta Granada,1950000,2,1,103
21355,Fraccionamiento,Villa Lomas Altas,740000,2,1,38
21165,Fraccionamiento,Popular Nacionalistas,1400000,2,1,126
21376,Fraccionamiento,Gran Segovia,4300000,3,2,118
21395,Fraccionamiento,Hacienda del Sol,1300000,2,1,61
21376,Fraccionamiento,Terrazas del Valle,9530000,3,4,314
21135,Fraccionamiento,Las Magdalenas,483025,2,1,60
21330,Fraccionamiento,Popular 6 de Enero,5600000,5,4,263
21355,Fraccionamiento,Quinta Granada,1926000,2,1,120
21190,Fraccionamiento,Real Virreyes,2496915,3,2,84
21384,Fraccionamiento,Huertas del Colorado,637911,2,1,70
21210,Colonia,Estatutos Jurídicos,800000,4,2,304
21378,Colonia,Saturno (Abasolo),690000,2,1,89
21378,Fraccionamiento,Adara Residencial,4659000,3,2,127
21395,Fraccionamiento,Valle del Pedregal 3a Sección,1986565,2,2,80
21395,Fraccionamiento,La Condesa,2550000,3,2,137
21355,Fraccionamiento,Villa Lomas Altas,410000,3,1,100
21395,Fraccionamiento,La Condesa,1510002,2,1,58
21255,Fraccionamiento,Puerta de Hierro,7950000,3,2,260
21378,Fraccionamiento,Monet Residencial,2960000,3,2,101
21180,Fraccionamiento,Villafontana,7990000,5,3,232
21376,Fraccionamiento,Gran Segovia,4000000,3,2,116
21376,Fraccionamiento,Palmar de Santa Anita,4450000,3,3,155
21378,Fraccionamiento,Monet Residencial,2885654,3,2,109
21137,Fraccionamiento,Misión de San Ignacio,383000,2,1,100
21215,Colonia,Alameda,5980000,3,2,180
21376,Fraccionamiento,Palmar de Santa Anita,5850000,3,2,218
21383,Fraccionamiento,Privadas Campestre,2520000,3,2,101
21298,Fraccionamiento,Residencial Los Ángeles,3600000,3,2,107
21339,Colonia,Ampliación Jardines del Lago,1045000,3,1,160
21399,Fraccionamiento,Nuevo Mexicali,493000,3,2,89
21399,Fraccionamiento,Hacienda del Río,2200000,2,1,78
21270,Fraccionamiento,Jardines del Valle,9500000,3,3,171
21399,Fraccionamiento,Hacienda del Río,4600000,2,2,126
21387,Fraccionamiento,Lago del Sol Residencial,4760000,3,3,148
21378,Fraccionamiento,Monet Residencial,4035000,3,2,190
21100,Colonia,Nueva,4000000,3,2,190
21376,Fraccionamiento,Gran Segovia,3590000,3,2,113
21399,Fraccionamiento,Hacienda del Río,2580000,3,2,89
21600,Colonia,Islas Agrarias B,4157680,3,2,127
21376,Fraccionamiento,Gran Segovia,3189000,3,2,106
21383,Colonia,Unión de Residentes Lázaro Cárdenas,2230000,3,2,89
21240,Colonia,Prohogar,3300000,3,2,115
21394,Colonia,Venustiano Carranza,5801119,3,3,185
21339,Colonia,Ampliación Jardines del Lago,6900000,3,2,450
